timestamp,symbol,regime,strategy_name,candidate_order,status,evaluated,winner,signal_side,signal_type,notes
2026-04-23 01:00:00,TX,WEAK,counter_vwap,0,candidate,False,False,,,pre-evaluation candidate
2026-04-23 01:00:00,TX,WEAK,counter_vwap,0,no_signal,True,False,,,strategy returned None
2026-04-23 01:00:00,TX,WEAK,spring_upthrust,1,candidate,False,False,,,pre-evaluation candidate
2026-04-23 01:00:00,TX,WEAK,spring_upthrust,1,no_signal,True,False,,,strategy returned None
2026-04-23 01:00:00,TX,WEAK,kbar_feature,2,candidate,False,False,,,pre-evaluation candidate
2026-04-23 01:00:00,TX,WEAK,kbar_feature,2,no_signal,True,False,,,strategy returned None
2026-04-23 01:00:00,TX,WEAK,router,0,no_winner,False,False,,,no eligible signal for regime WEAK
2026-04-23 01:01:00,TX,WEAK,counter_vwap,0,candidate,False,False,,,pre-evaluation candidate
2026-04-23 01:01:00,TX,WEAK,counter_vwap,0,no_signal,True,False,,,strategy returned None
2026-04-23 01:01:00,TX,WEAK,spring_upthrust,1,candidate,False,False,,,pre-evaluation candidate
2026-04-23 01:01:00,TX,WEAK,kbar_feature,2,shadowed,False,False,,,short-circuited by winner=spring_upthrust
2026-04-23 01:01:00,TX,WEAK,spring_upthrust,1,winner,True,True,,entry,router selected this signal
2026-04-23 01:02:00,TX,WEAK,counter_vwap,0,candidate,False,False,,,pre-evaluation candidate
2026-04-23 01:02:00,TX,WEAK,counter_vwap,0,no_signal,True,False,,,strategy returned None
2026-04-23 01:02:00,TX,WEAK,spring_upthrust,1,candidate,False,False,,,pre-evaluation candidate
2026-04-23 01:02:00,TX,WEAK,spring_upthrust,1,no_signal,True,False,,,strategy returned None
2026-04-23 01:02:00,TX,WEAK,kbar_feature,2,candidate,False,False,,,pre-evaluation candidate
2026-04-23 01:02:00,TX,WEAK,kbar_feature,2,no_signal,True,False,,,strategy returned None
2026-04-23 01:02:00,TX,WEAK,router,0,no_winner,False,False,,,no eligible signal for regime WEAK
2026-04-23 01:03:00,TX,WEAK,counter_vwap,0,candidate,False,False,,,pre-evaluation candidate
2026-04-23 01:03:00,TX,WEAK,counter_vwap,0,no_signal,True,False,,,strategy returned None
2026-04-23 01:03:00,TX,WEAK,spring_upthrust,1,candidate,False,False,,,pre-evaluation candidate
2026-04-23 01:03:00,TX,WEAK,spring_upthrust,1,no_signal,True,False,,,strategy returned None
2026-04-23 01:03:00,TX,WEAK,kbar_feature,2,candidate,False,False,,,pre-evaluation candidate
2026-04-23 01:03:00,TX,WEAK,kbar_feature,2,no_signal,True,False,,,strategy returned None
2026-04-23 01:03:00,TX,WEAK,router,0,no_winner,False,False,,,no eligible signal for regime WEAK
2026-04-23 01:04:00,TX,WEAK,counter_vwap,0,candidate,False,False,,,pre-evaluation candidate
2026-04-23 01:04:00,TX,WEAK,counter_vwap,0,no_signal,True,False,,,strategy returned None
2026-04-23 01:04:00,TX,WEAK,spring_upthrust,1,candidate,False,False,,,pre-evaluation candidate
2026-04-23 01:04:00,TX,WEAK,spring_upthrust,1,no_signal,True,False,,,strategy returned None
2026-04-23 01:04:00,TX,WEAK,kbar_feature,2,candidate,False,False,,,pre-evaluation candidate
2026-04-23 01:04:00,TX,WEAK,kbar_feature,2,no_signal,True,False,,,strategy returned None
2026-04-23 01:04:00,TX,WEAK,router,0,no_winner,False,False,,,no eligible signal for regime WEAK
2026-04-23 01:05:00,TX,WEAK,counter_vwap,0,candidate,False,False,,,pre-evaluation candidate
2026-04-23 01:05:00,TX,WEAK,spring_upthrust,1,shadowed,False,False,,,short-circuited by winner=counter_vwap
